nom_dataset,echelle_geographique,date_ajout,budget_dp_rho
Filosofi,France entière,08/06/2025,0.1
Filosofi,Corse,08/06/2025,0.05
Filosofi,Bretagne,08/06/2025,0.05
Fidéli,France entière,25/06/2025,0.1
Fidéli,France entière,25/06/2025,0.01
Fidéli,France entière,25/06/2025,0.01
Fidéli,France entière,25/06/2025,0.01
Fidéli,France entière,25/06/2025,0.01
Fidéli,France entière,25/06/2025,0.01
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,04/07/2025,100
Penguin,France entière,04/07/2025,1
Penguin,France entière,04/07/2025,1
Penguin,France entière,04/07/2025,1
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,04/07/2025,0.1
Penguin,France entière,05/07/2025,0.1
Penguin,France entière,05/07/2025,0.1
Penguin,France entière,05/07/2025,0.1
Penguin,France entière,05/07/2025,0.1
Penguin,France entière,05/07/2025,0.1
Penguin,France entière,05/07/2025,0.1
Penguin,France entière,05/07/2025,0.1
Penguin,France entière,05/07/2025,0.1
Penguin,France entière,05/07/2025,0.1
Penguin,France entière,05/07/2025,0.1
Penguin,France entière,05/07/2025,0.1
Penguin,France entière,05/07/2025,0.1
Penguin,France entière,05/07/2025,0.1
Penguin,France entière,05/07/2025,0.1
Penguin,France entière,05/07/2025,0.1
Penguin,France entière,05/07/2025,0.1
Penguin,France entière,05/07/2025,0.1
Penguin,France entière,05/07/2025,0.1
Penguin,France entière,05/07/2025,0.1
Penguin,France entière,05/07/2025,100
Penguin,France entière,05/07/2025,0.1
Penguin,France entière,05/07/2025,100
Penguin,France entière,06/07/2025,0.1
Penguin,France entière,06/07/2025,0.1
Penguin,France entière,06/07/2025,0.1
Penguin,France entière,06/07/2025,0.1
Penguin,France entière,06/07/2025,100
Penguin,France entière,06/07/2025,0.1
Penguin,France entière,06/07/2025,100
Penguin,France entière,06/07/2025,0.1
Penguin,France entière,07/07/2025,0.1
Penguin,France entière,07/07/2025,0.1
Penguin,France entière,07/07/2025,1000
Penguin,France entière,07/07/2025,1000
Penguin,France entière,07/07/2025,1000
Penguin,France entière,07/07/2025,0.1
Penguin,France entière,07/07/2025,0.1
Penguin,France entière,07/07/2025,0.1
Penguin,France entière,07/07/2025,0.1
Penguin,France entière,07/07/2025,0.1
Penguin,France entière,08/07/2025,0.1
Penguin,France entière,08/07/2025,0.1
Penguin,France entière,08/07/2025,0.1
Penguin,France entière,08/07/2025,0.1
Penguin,France entière,08/07/2025,0.1
Penguin,France entière,08/07/2025,0.1
Penguin,France entière,08/07/2025,0.1
Penguin,France entière,08/07/2025,0.1
